2024-01-19 09:49:31.301578 - idCapteur: 144, x: 12.137, y: 1.078, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.302566 - idCapteur: 143, x: 11.204, y: -1.677, z: 2.65, orientation: 90.0, color: 
2024-01-19 09:49:31.303566 - idCapteur: 142, x: 10.357, y: 0.481, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.303566 - idCapteur: 184, x: 2.12, y: 2.793, z: 2.65, orientation: 119.0, color: FF00FF
2024-01-19 09:49:31.304569 - idCapteur: 182, x: 1.311, y: 8.989, z: 2.65, orientation: 270.0, color: 0000FF
2024-01-19 09:49:31.305567 - idCapteur: 181, x: 7.382, y: 8.565, z: 2.653, orientation: 180.0, color: 00FF00
2024-01-19 09:49:31.306585 - idCapteur: 180, x: 6.352, y: 6.959, z: 2.663, orientation: 90.0, color: FF0000
2024-01-19 09:49:31.307568 - idCapteur: 179, x: 5.092, y: 6.587, z: 2.658, orientation: 180.0, color: 00FFFF
2024-01-19 09:49:31.308572 - idCapteur: 178, x: 5.071, y: 5.29, z: 2.625, orientation: 180.0, color: FF0000
2024-01-19 09:49:31.309568 - idCapteur: 177, x: 5.057, y: 2.714, z: 2.65, orientation: 180.0, color: 00FF00
2024-01-19 09:49:31.309568 - idCapteur: 176, x: 4.358, y: 1.331, z: 2.623, orientation: 90.0, color: 0000FF
2024-01-19 09:49:31.310567 - idCapteur: 175, x: 1.687, y: 1.327, z: 2.652, orientation: 90.0, color: FFFF00
2024-01-19 09:49:31.311573 - idCapteur: 174, x: 0.773, y: 0.364, z: 2.631, orientation: 180.0, color: FF00FF
2024-01-19 09:49:31.312570 - idCapteur: 173, x: 0.336, y: 0.89, z: 2.62, orientation: 0.0, color: 00FF00
2024-01-19 09:49:31.313569 - idCapteur: 172, x: 0.347, y: 3.294, z: 2.65, orientation: 0.0, color: FFFF00
2024-01-19 09:49:31.314566 - idCapteur: 185, x: 5.339, y: 7.565, z: 2.65, orientation: 270.0, color: 00FF00
2024-01-19 09:49:31.314566 - idCapteur: 186, x: 4.339, y: 7.565, z: 2.65, orientation: 270.0, color: 00FF00
2024-01-19 09:49:31.315566 - idCapteur: 187, x: 3.339, y: 7.565, z: 2.65, orientation: 270.0, color: 00FF00
2024-01-19 09:49:31.316566 - idCapteur: 189, x: 3.339, y: 6.565, z: 2.65, orientation: 270.0, color: 00FF00
2024-01-19 09:49:31.316566 - idCapteur: 154, x: 2.339, y: 7.565, z: 1.65, orientation: 270.0, color: 
2024-01-19 09:49:31.317567 - idCapteur: dwm1001-95, x: 15.78, y: 2.209, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.318567 - idCapteur: dwm1001-65, x: 12.53, y: 2.409, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.319566 - idCapteur: dwm1001-86, x: 13.32, y: 2.234, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.319566 - idCapteur: dwm1001-82, x: 11.54, y: -0.321, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.320566 - idCapteur: dwm1001-63, x: 8.98, y: 1.029, z: 0.035, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.321567 - idCapteur: dwm1001-14, x: -1.19, y: 4.578, z: 2.658, orientation: 0.0, color: FF0000
2024-01-19 09:49:31.322586 - idCapteur: dwm1001-13, x: -1.187, y: 8.649, z: 2.65, orientation: 0.0, color: 0000FF
2024-01-19 09:49:31.323570 - idCapteur: dwm1001-39, x: 6.339, y: 8.565, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.324569 - idCapteur: dwm1001-38, x: 5.339, y: 8.565, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.325569 - idCapteur: dwm1001-37, x: 4.339, y: 8.565, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.325569 - idCapteur: dwm1001-35, x: 3.339, y: 8.565, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.326568 - idCapteur: dwm1001-34, x: 2.339, y: 8.565, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.327566 - idCapteur: dwm1001-33, x: 1.339, y: 8.565, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.328566 - idCapteur: dwm1001-10, x: 0.734, y: -2.438, z: 2.65, orientation: 90.0, color: 
2024-01-19 09:49:31.328566 - idCapteur: dwm1001-9, x: -4.005, y: -1.674, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.329567 - idCapteur: dwm1001-6, x: -3.86, y: 3.484, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.330568 - idCapteur: dwm1001-5, x: -0.591, y: 3.487, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.331567 - idCapteur: dwm1001-2, x: -3.132, y: 4.339, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.331567 - idCapteur: dwm1001-1, x: -3.962, y: 7.931, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.332566 - idCapteur: dwm1001-62, x: 8.237, y: 2.395, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.333567 - idCapteur: dwm1001-61, x: 8.112, y: 5.613, z: 2.65, orientation: 90.0, color: 
2024-01-19 09:49:31.334568 - idCapteur: dwm1001-74, x: 11.442, y: 4.9, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.334568 - idCapteur: dwm1001-73, x: 11.442, y: 9.249, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.335567 - idCapteur: dwm1001-70, x: 15.204, y: 7.775, z: 2.65, orientation: 180.0, color: 
2024-01-19 09:49:31.336566 - idCapteur: dwm1001-69, x: 15.312, y: 4.93, z: 2.65, orientation: 180.0, color: 
2024-01-19 09:49:31.336566 - idCapteur: dwm1001-94, x: 17.925, y: 1.714, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.337566 - idCapteur: dwm1001-93, x: 17.917, y: -2.415, z: 2.65, orientation: 180.0, color: 
2024-01-19 09:49:31.338568 - idCapteur: dwm1001-89, x: 14.85, y: -2.715, z: 2.65, orientation: 180.0, color: 
2024-01-19 09:49:31.339735 - idCapteur: dwm1001-85, x: 12.137, y: 1.078, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.340587 - idCapteur: dwm1001-81, x: 11.204, y: -1.677, z: 2.65, orientation: 90.0, color: 
2024-01-19 09:49:31.341567 - idCapteur: dwm1001-77, x: 10.357, y: 0.481, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.342569 - idCapteur: dwm1001-50, x: 2.12, y: 2.793, z: 2.65, orientation: 119.0, color: FF00FF
